influence.1.1		influence.1.2		influence.1.3		influence.2.1		influence.2.2		influence.2.3		influence.3.1		influence.3.2		influence.3.3		
0.000000000000000000e+00 8.649440288794068010e+00 9.797460543535086330e+00 8.728783960667557906e+00 0.000000000000000000e+00 7.407706559491931962e-07 9.214331396169747279e+00 8.631496866812243596e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.349718555152614741e+00 9.629035886318364490e+00 8.698070614430864822e+00 0.000000000000000000e+00 1.595582020178173612e-07 9.147553995749477806e+00 9.444722741957573220e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.740667719235277744e+00 8.441657348849927800e+00 8.252258909841112100e+00 0.000000000000000000e+00 1.901231828021604898e-07 9.525225032238697764e+00 9.527867052395860625e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.983695232072491876e+00 7.758549739744645457e+00 4.303079943470079272e+00 0.000000000000000000e+00 2.057726915938547627e-07 8.226484858270701750e+00 9.087608313508049207e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.679062482567063697e+00 8.869228030158577525e+00 7.685556131102909028e+00 0.000000000000000000e+00 5.676911516979773462e-07 8.464291572826990517e+00 7.900363255959516273e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.658292619380070221e+00 8.110528705085936707e+00 9.426564786194067125e+00 0.000000000000000000e+00 1.000534667673032331e-06 8.731296631303518296e+00 9.297515850982950525e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.038980910200997698e+00 9.955735407653310887e+00 8.288900104170366490e+00 0.000000000000000000e+00 3.459931787357899700e-06 9.496766248402366273e+00 9.681852750984417000e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.390120402088095730e+00 9.853413148214155370e+00 8.859915719733665540e+00 0.000000000000000000e+00 2.438011307460931118e-07 9.748037377150099658e+00 8.307824674688031763e+00 0.000000000000000000e+00
0.000000000000000000e+00 7.333654467734866955e+00 9.722467618410743029e+00 8.876551418206002353e+00 0.000000000000000000e+00 1.337739191854060505e-07 9.898845517675420425e+00 9.658873566034303693e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.402964215479169496e+00 9.635623737186964632e+00 8.869074680890268070e+00 0.000000000000000000e+00 7.670739086469649438e-08 9.970416124386506596e+00 9.518362476741861755e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.367701768827137343e+00 8.833147586431213227e+00 9.445977254328292716e+00 0.000000000000000000e+00 4.320069340334183719e-07 9.804142389048681849e+00 7.515100115044377915e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.770343695870849388e+00 8.601604325081193991e+00 9.452211381483174080e+00 0.000000000000000000e+00 4.259584536825346330e-07 9.961860721429165011e+00 9.364853148683822681e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.854469811282118741e+00 8.821542080771076044e+00 9.199201560603858852e+00 0.000000000000000000e+00 2.466776316803504871e-07 9.649412762975044799e+00 8.859728731419044934e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.945457253535742836e+00 8.879468840427131582e+00 3.610460373863442207e+00 0.000000000000000000e+00 2.447807815335376093e-07 9.638150774070117777e+00 7.862081727572295620e+00 0.000000000000000000e+00
